mode,checkpoint,agent_name,drift_score
with_emc,20,RouterManager,0.5108
with_emc,20,IncomeAgent,1.3471
with_emc,20,FraudAgent,1.7148
with_emc,20,CreditAgent,0.734
with_emc,20,ComplianceAgent,0.821
with_emc,20,SummariserAgent,1.0788
with_emc,20,WeakModelAgent,0.6407
with_emc,40,RouterManager,0.5108
with_emc,40,IncomeAgent,1.3471
with_emc,40,FraudAgent,1.7148
with_emc,40,CreditAgent,0.734
with_emc,40,ComplianceAgent,0.6441
with_emc,40,SummariserAgent,0.3435
with_emc,40,WeakModelAgent,0.7755
