run_id,borrower_id,risk_band,borda_resolution_fired,resolution_induced_invocations,remaining_invocations_after_lce,raw_redundancy_index,controlled_redundancy_index,lce_redundancy_reduction,invocations_reduced_by_lce
interaction_B001,B001,low,True,5,2,1.6667,0.6667,1.0,3
interaction_B002,B002,high,True,3,0,1.0,0.0,1.0,3
interaction_B003,B003,low,True,4,0,1.3333,0.0,1.3333,4
interaction_B004,B004,high,True,4,0,1.3333,0.0,1.3333,4
interaction_B005,B005,medium,True,2,1,0.6667,0.3333,0.3334,1
interaction_B006,B006,high,True,5,1,1.6667,0.3333,1.3334000000000001,4
interaction_B007,B007,medium,True,3,1,1.0,0.3333,0.6667000000000001,2
interaction_B008,B008,high,True,3,1,1.0,0.3333,0.6667000000000001,2
interaction_B009,B009,medium,True,4,4,1.3333,1.3333,0.0,0
interaction_B010,B010,high,True,2,0,0.6667,0.0,0.6667,2
interaction_B011,B011,low,True,2,1,0.6667,0.3333,0.3334,1
interaction_B012,B012,medium,True,5,1,1.6667,0.3333,1.3334000000000001,4
interaction_B013,B013,low,True,3,0,1.0,0.0,1.0,3
interaction_B014,B014,low,True,2,1,0.6667,0.3333,0.3334,1
interaction_B015,B015,low,True,6,2,2.0,0.6667,1.3333,4
interaction_B016,B016,low,True,3,2,1.0,0.6667,0.33330000000000004,1
interaction_B017,B017,medium,True,2,0,0.6667,0.0,0.6667,2
interaction_B018,B018,high,True,3,2,1.0,0.6667,0.33330000000000004,1
interaction_B019,B019,high,True,5,0,1.6667,0.0,1.6667,5
interaction_B020,B020,medium,True,3,1,1.0,0.3333,0.6667000000000001,2
